time,open,high,low,close,Volume,Volume MA,VMA,Edge Line,Oversold,Oversold.1,Plot,Plot.1,Plot.2,VMA.1,UpperBand,LowerBand,VMA.2,UpperBand.1,LowerBand.1,VMA.3,UpperBand.2,LowerBand.2,VMA.4,UpperBand.3,LowerBand.3,VMA.5,Plot.3,Plot.4,VMA.6,Edge Line.1,super_trend_up,super_trend_down,smack_down,up_smack,Shapes,stop_loss,VMA.7,Edge Line.2,first smack,long trailingn stop,short trailingn stop,stop_percentage,actual_stop,third smack,second smack,first smack.1,first smack.2,elliot wave ocolator,vwaprizz14,vwaprizz14_ema,Plot.5,Plot.6,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line.1,buy,sell_sig,sell_sig.1,sell_sig.2,sell_sig.3,test,rizzy,sto1,sto2,Plot.7,Plot.8,weeklysto1,weeklysto2,monthlysto1,monthlysto2,Plot.9,Plot.10,storeversal,sto oversold,buyssto,Unnamed: 77,third smack.1,weeklyup,monthlyup
2005-05-13 09:30:00,9.39,9.4,9.39,9.4,200,1595.0,,9.671257622646863,0,0,9.8175,8.8825,9.4,,,,,,,,,,,,,,9.4,9.4,9.363921887384418,9.671257622646863,8.954710128504436,9.671257622646863,0,0,0,9.016,9.363921887384418,9.671257622646863,0,9.02003658021806,9.53996341978194,8.92,8.739999999999998,0,0,0,1,0,57.66849250641774,46.9348165990025,57.66849250641774,46.9348165990025,84.265793592922,50,90,10,0,0,0,0,0,0,84.265793592922,80.39215686274525,72.56577844813158,80.39215686274525,72.56577844813158,0.0,0.0,12.1850436087043,12.923877293243796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-16 09:30:00,9.4,9.45,9.4,9.45,800,1280.0,,9.671060567859346,0,0,9.8175,8.8825,9.45,,,,,,,,,,,,,,9.39,9.4,9.370280488232835,9.671060567859346,8.971456473283522,9.671060567859346,0,0,0,9.016,9.370280488232835,9.671060567859346,0,9.024676824488198,9.585323175511801,8.9275,8.739999999999998,0,0,0,1,1,57.06122780115538,48.28500475928956,57.06122780115538,48.28500475928956,98.02597413776543,50,90,10,0,0,0,0,0,0,98.02597413776543,90.19607843137268,80.39215686274528,90.19607843137268,80.39215686274528,0.0,0.0,16.71222882341459,25.027765568295678,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2005-05-17 09:30:00,9.49,9.49,9.46,9.46,900,1215.0,,9.671060567859346,0,0,9.8175,8.8825,9.46,,,,,,,,,,,,,,9.4,9.45,9.394224390586269,9.671060567859346,9.016541666019288,9.671060567859346,0,0,0,9.016,9.394224390586269,9.671060567859346,0,9.17005705131047,9.619942948689529,8.987,8.739999999999998,0,0,0,1,1,62.1235450443773,50.13014346396793,62.1235450443773,50.13014346396793,98.5375589558033,50,90,10,0,0,0,0,0,0,98.5375589558033,96.96969696969713,89.18597742127173,96.96969696969713,89.18597742127173,0.0,0.0,25.027765568295674,37.131653843347564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005-05-18 09:30:00,9.45,9.45,9.45,9.45,500,1230.0,,9.671060567859346,0,0,9.8175,8.8825,9.45,,,,,,,,,,,,,,9.46,9.49,9.405379512469015,9.671060567859346,9.055552466566548,9.671060567859346,0,0,0,9.016,9.405379512469015,9.671060567859346,0,9.26826726193115,9.61173273806885,8.9775,8.739999999999998,0,0,0,1,1,66.6590496973931,52.333997628424605,66.6590496973931,52.333997628424605,64.8992332631875,50,90,10,0,1,0,1,0,0,64.8992332631875,92.929292929293,93.36502277678764,92.929292929293,93.36502277678764,0.0,0.0,37.13165384334754,49.23554211839944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-20 09:30:00,9.49,9.49,9.49,9.49,500,1250.0,,9.671060567859346,0,0,9.8175,8.8825,9.49,,,,,,,,,,,,,,9.45,9.45,9.422303609975213,9.671060567859346,9.092747809764722,9.671060567859346,0,0,0,9.016,9.422303609975213,9.671060567859346,0,9.272676743221783,9.607323256778221,9.0155,8.739999999999998,0,0,0,1,1,61.98744086045579,53.62112339269544,61.98744086045579,53.62112339269544,90.59214260490822,50,90,10,0,0,0,0,0,0,90.59214260490822,92.929292929293,94.2760942760944,92.929292929293,94.2760942760944,0.0,0.0,45.200912693382136,49.23554211839944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-23 09:30:00,9.46,9.46,9.46,9.46,100,1095.0,,9.671060567859346,0,0,9.8175,8.8825,9.46,,,,,,,,,,,,,,9.49,9.49,9.429842887980172,9.671060567859346,9.118824674468618,9.671060567859346,0,0,0,9.016,9.429842887980172,9.671060567859346,0,9.277842690134513,9.602157309865488,8.987,8.739999999999998,0,0,0,1,1,67.27929545080676,55.44221300044362,67.27929545080676,55.44221300044362,43.18098886304866,50,90,10,0,1,0,1,0,0,43.18098886304866,92.929292929293,92.92929292929306,92.929292929293,92.92929292929306,0.0,0.0,51.404068764222444,55.74112205586844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-05-24 09:30:00,9.39,9.39,9.39,9.39,500,900.0,,9.671060567859346,0,0,9.8175,8.8825,9.39,,,,,,,,,,,,,,9.46,9.46,9.422324426963948,9.671060567859346,9.121871790949493,9.671060567859346,0,0,0,9.016,9.422324426963948,9.671060567859346,0,9.278353926553477,9.601646073446526,8.9205,8.739999999999998,0,0,1,1,1,60.04543749166951,56.0559762659404,60.04543749166951,56.0559762659404,12.544271734703445,50,90,10,0,0,0,0,0,0,12.544271734703445,86.86868686868706,90.90909090909105,86.86868686868706,90.90909090909105,0.0,0.0,55.74112205586842,62.24670199333745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-05-25 09:30:00,9.19,9.3,9.19,9.3,2500,980.0,,9.671060567859346,0,0,9.8175,8.8825,9.3,,,,,,,,,,,,,,9.39,9.39,9.415371333952297,9.671060567859346,9.121871790949493,9.671060567859346,0,0,0,9.016,9.415371333952297,9.671060567859346,0,9.064900074656796,9.615099925343204,8.725,8.739999999999998,0,0,0,0,0,46.56574969964146,54.79061272376721,46.56574969964146,54.79061272376721,4.441366758464028,50,90,10,0,0,0,0,0,0,4.441366758464028,67.67676767676794,82.49158249158272,67.67676767676794,82.49158249158272,0.0,0.0,62.24670199333743,68.75228193080646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-05-26 09:30:00,9.35,9.35,9.25,9.25,1400,900.0,,9.671060567859346,0,0,9.8175,8.8825,9.25,,,,,,,,,,,,,,9.19,9.3,9.415371333952297,9.671060567859346,9.121871790949493,9.671060567859346,0,0,0,9.016,9.415371333952297,9.671060567859346,0,9.063121497895596,9.616878502104402,8.7875,8.739999999999998,0,0,0,0,0,31.705021742257586,51.7125339262326,31.705021742257586,51.7125339262326,2.5856230569881973,50,90,10,0,0,0,0,0,0,2.5856230569881973,46.46464646464664,67.00336700336726,46.46464646464664,67.00336700336726,0.0,0.0,68.74443674378436,75.23432630720923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2005-05-27 09:30:00,9.37,9.38,9.2,9.2,3000,980.0,,9.671060567859346,0,0,9.8175,8.8825,9.2,,,,,,,,,,,,,,9.25,9.35,9.414365940652452,9.671060567859346,9.121871790949493,9.671060567859346,0,0,0,9.016,9.414365940652452,9.671060567859346,0,9.052898533760198,9.627101466239802,8.739999999999998,8.739999999999998,0,0,0,0,0,35.45763591111852,49.545214190884046,35.45763591111852,49.545214190884046,1.408549701474314,50,90,10,0,0,0,0,0,0,1.408549701474314,24.34343434343445,46.1616161616164,24.34343434343445,46.1616161616164,0.0,0.0,75.23432630720923,81.71637068361206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
